X Y TOL_COUNTS TOL_BG APER_RAD TOL_COUNTS_ERR MAG MAG_ERR
3305 607 66138.3984375 1510903.6015625 12 257.17386810774536 13.24886581468739 -0.004218935648412883
610 1822 31722.1796875 1490514.8203125 12 178.10721402430616 14.046592447953346 -0.006091836346684592
980 1992 49190.421875 1490504.578125 12 221.7891383161042 13.570298631892033 -0.004892033975323027
834 1335 66997.453125 1511958.546875 12 258.83866234587134 13.234854266187567 -0.0041918003677139095
3876 1101 29938.40234375 1505391.59765625 12 173.02717226999349 14.109428448510029 -0.0062706913935283775
350 190 46751.7421875 1503488.2578125 12 216.22151185185066 13.6255055016407 -0.005018002097512913
471 2113 83092.4375 1499046.5625 12 288.2575887986299 13.001096252256763 -0.0037639945734714237
1011 1956 55778.0 1491044.0 12 236.17366491630688 13.433842655102131 -0.004594076991541341
4484 1474 49717.20703125 1507429.79296875 12 222.97355679822215 13.558733191879394 -0.00486604786495764
3135 2278 24047.78515625 1493548.21484375 12 155.07348308543922 14.347312291854651 -0.006996682981591436
4072 2139 30798.4140625 1495410.5859375 12 175.49476933088349 14.078679116349395 -0.006182520448540014
3886 457 74397.64453125 1502759.35546875 12 272.75931612183297 13.121102035573278 -0.003977865964128481
1907 548 30807.58984375 1493838.41015625 12 175.52090999009206 14.078355690795002 -0.006181599674142795
2971 372 51732.08203125 1499836.91796875 12 227.44687738293968 13.515600106099512 -0.0047703446733772725
3353 652 32198.852272727294 935444.1477272727 12 179.44038640375052 14.030399021110176 -0.006046576368592361
1463 1299 25682.46484375 1493674.53515625 12 160.25749543703097 14.275908244277696 -0.006770354154363548
3146 2113 54529.765625 1506250.234375 12 233.51609286085616 13.458415922387932 -0.004646360714190744
4241 181 57160.37109375 1499232.62890625 12 239.08235211690135 13.407262400916597 -0.004538185233636484
2210 2170 54593.24609375 1494698.75390625 12 233.65197643878383 13.457152704851941 -0.004643658558070305
1635 1041 25935.828125 1494096.171875 12 161.0460434937785 14.265249701316343 -0.0067372036993998885
382 886 54732.61328125 1498785.38671875 12 233.9500230417813 13.454384538490274 -0.004637742650729421
1251 243 29068.76171875 1493408.23828125 12 170.49563548299412 14.141433670158383 -0.006363799266335015
3693 2070 50978.01171875 1498979.98828125 12 225.78310769131954 13.531542768009098 -0.004805496793335677
4043 2321 42535.91796875 1491865.08203125 12 206.24237675305721 13.728110475593637 -0.005260800506091513
2661 1262 37294.51171875 1500946.48828125 12 193.117870014015 13.87088768627146 -0.005618330400605904
4382 2148 19757.51953125 1490796.48046875 12 140.56144397113314 14.560668950169314 -0.007719044208330875
508 1707 28352.62109375 1491257.37890625 12 168.3823657446052 14.168516965037604 -0.006443667632308237
3097 2307 34701.65625 1494963.34375 12 186.28380565685254 13.949124491475994 -0.005824446178636935
3287 2267 23943.045454545412 723261.9545454546 12 154.73540465758123 14.352051524967685 -0.007011969900495818
1460 212 75567.46875 1514819.53125 12 274.8953778258194 13.104162812270788 -0.00394695614230183
793 1353 50731.76171875 1499089.23828125 12 225.2371233139644 13.53680014011389 -0.0048171455221774784
3954 1840 51536.30859375 1502209.69140625 12 227.01609765333822 13.519716730022466 -0.004779396752986363
3477 574 22256.75 1496834.25 12 149.18696323740892 14.431345631013368 -0.0072727534394100065
4009 1876 29198.703125 1493932.296875 12 170.8762801707715 14.136591093824503 -0.006349623241538645
477 1798 26059.08421052643 1183638.9157894736 12 161.4282633572152 14.260102126710485 -0.006721251764934537
1452 296 30955.65234375 1495231.34765625 12 175.94218466232024 14.073150098631347 -0.006166798497372321
1945 1063 34445.88461538451 1034307.1153846155 12 185.59602532216175 13.95715664379527 -0.005846030366849896
765 189 62102.32421875 1503759.67578125 12 249.20337922819184 13.317230364434195 -0.004353873544413221
2674 790 60982.86328125 1506105.13671875 12 246.9470859946519 13.33698047099687 -0.0043936537887452436
3088 399 34482.828125 1495407.171875 12 185.69552532304056 13.955992806312558 -0.005842897927198336
1965 599 35117.359375 1494792.640625 12 187.39626296967612 13.936195370011502 -0.005789869994235539
1552 496 49390.375 1508141.625 12 222.2394541929943 13.56589419103405 -0.004882121421418623
711 1872 41362.40234375 1490533.59765625 12 203.3774873080843 13.758485612990356 -0.005334907094984406
3286 2255 11594.163043478213 452300.8369565218 12 107.676195342695 15.139401491587904 -0.01007650759340847
2929 690 40115.234375 1497687.765625 12 200.2878787520603 13.79172666517423 -0.005417202512505211
1224 844 38480.921875 1499026.078125 12 196.16554711518535 13.836886330642882 -0.0055310426114882705
4192 1106 37216.06640625 1496101.93359375 12 192.91466094169724 13.873173830050936 -0.005624248539243522
1490 505 42934.9453125 1500040.0546875 12 207.2074933792212 13.71797271484634 -0.00523629711602314
1899 1918 29853.06640625 1496975.93359375 12 172.78039936940186 14.112527632449073 -0.00627964748293171
1960 1834 21139.5234375 1503201.4765625 12 145.3943720970657 14.487262018777363 -0.007462462159647079
694 440 71472.578125 1511685.421875 12 267.34355822611474 13.164651379878364 -0.004058448264844014
1792 1409 33009.81564245804 979739.184357542 12 181.68603590385817 14.003392252919054 -0.005971840348666883
2001 2415 22252.53125 1495673.46875 12 149.1728234297387 14.431551450990636 -0.007273442809849621
4299 1606 36742.2109375 1495799.7890625 12 191.68257859675197 13.887086784673658 -0.005660399645825638
2853 902 28701.56179775286 945532.4382022471 12 169.41535289858726 14.155236176136166 -0.006404378242209756
3427 2020 18418.1015625 1497185.8984375 12 135.71330650492604 14.636887841349626 -0.007994794526361476
3353 628 31615.06818181812 945401.9318181819 12 177.80626586770816 14.050264693099512 -0.00610214715834179
693 1322 32744.86328125 1504794.13671875 12 180.95541793836955 14.012142046323762 -0.005995951999456203
1007 448 44282.5703125 1498237.4296875 12 210.43424225277596 13.684417947795238 -0.005156004975163148
3250 2206 20905.70056497166 946445.2994350283 12 144.588037420015 14.499338185877853 -0.007504078617847025
2603 114 8606.538461538497 794140.4615384615 12 92.77143127891526 15.46292871524806 -0.01169541080742811
3729 1331 17808.9765625 1500081.0234375 12 133.45027749128138 14.673402594102976 -0.008130369006320618
4478 979 18224.20703125 1493008.79296875 12 134.9970630467567 14.648378398875407 -0.008037211888263129
1849 1112 35493.5546875 1495813.4453125 12 188.39733195430344 13.924626259460087 -0.005759104912712731
460 2467 29521.54081632651 614679.4591836735 12 171.81833667081784 14.124652447867327 -0.006314809123537974
1934 2167 40810.04296875 1496835.95703125 12 202.01495728967694 13.77308236989841 -0.0053708894358954675
1490 2201 19530.2421875 1495403.7578125 12 139.75064288760893 14.573230927873212 -0.007763828327234137
3752 2363 26355.21875 1503566.78125 12 162.34290483418116 14.247833436905271 -0.006683384168271665
2653 518 50605.4921875 1504471.5078125 12 224.95664512856695 13.53950586712548 -0.00482315158718651
2873 783 27882.13671875 1498706.86328125 12 166.97944998936245 14.186684868974098 -0.006497805568703936
2093 1956 30277.7265625 1494072.2734375 12 174.0049613157625 14.097191843605945 -0.0062354543904703805
2717 2223 33442.01953125 1495821.98046875 12 182.87159301337647 13.989268759542286 -0.0059331248890068765
